Date,Price_beef_infl,Price_rice_infl,Price_coffee_infl
2035-05-01,6.49,0.67,4.74
2035-06-01,6.49,0.67,4.74
2035-07-01,6.50,0.67,4.74
2035-08-01,6.51,0.67,4.75
2035-09-01,6.52,0.67,4.75
2035-10-01,6.52,0.67,4.75
2035-11-01,6.53,0.67,4.76
2035-12-01,6.54,0.67,4.76
2036-01-01,6.55,0.67,4.76
2036-02-01,6.56,0.67,4.77
2036-03-01,6.56,0.67,4.77
2036-04-01,6.57,0.68,4.77
2036-05-01,6.58,0.68,4.77
2036-06-01,6.59,0.68,4.78
2036-07-01,6.59,0.68,4.78
2036-08-01,6.60,0.68,4.78
2036-09-01,6.61,0.68,4.79
2036-10-01,6.62,0.68,4.79
2036-11-01,6.63,0.68,4.79
2036-12-01,6.63,0.68,4.80
2037-01-01,6.64,0.68,4.80
2037-02-01,6.65,0.68,4.80
2037-03-01,6.66,0.68,4.81
2037-04-01,6.66,0.68,4.81
2037-05-01,6.67,0.68,4.81
2037-06-01,6.68,0.68,4.81
2037-07-01,6.69,0.68,4.82
2037-08-01,6.69,0.68,4.82
2037-09-01,6.70,0.68,4.82
2037-10-01,6.71,0.68,4.83
2037-11-01,6.72,0.69,4.83
2037-12-01,6.73,0.69,4.83
2038-01-01,6.73,0.69,4.84
2038-02-01,6.74,0.69,4.84
2038-03-01,6.75,0.69,4.84
2038-04-01,6.76,0.69,4.85
2038-05-01,6.76,0.69,4.85
2038-06-01,6.77,0.69,4.85
2038-07-01,6.78,0.69,4.85
2038-08-01,6.79,0.69,4.86
2038-09-01,6.79,0.69,4.86
2038-10-01,6.80,0.69,4.86
2038-11-01,6.81,0.69,4.87
2038-12-01,6.82,0.69,4.87
2039-01-01,6.83,0.69,4.87
2039-02-01,6.83,0.69,4.88
2039-03-01,6.84,0.69,4.88
2039-04-01,6.85,0.69,4.88
2039-05-01,6.86,0.69,4.88
2039-06-01,6.86,0.69,4.89
2039-07-01,6.87,0.70,4.89
2039-08-01,6.88,0.70,4.89
2039-09-01,6.89,0.70,4.90
2039-10-01,6.89,0.70,4.90
2039-11-01,6.90,0.70,4.90
2039-12-01,6.91,0.70,4.91
2040-01-01,6.92,0.70,4.91
2040-02-01,6.93,0.70,4.91
2040-03-01,6.93,0.70,4.92
2040-04-01,6.94,0.70,4.92
2040-05-01,6.95,0.70,4.92
2040-06-01,6.96,0.70,4.92
2040-07-01,6.96,0.70,4.93
2040-08-01,6.97,0.70,4.93
2040-09-01,6.98,0.70,4.93
2040-10-01,6.99,0.70,4.94
2040-11-01,6.99,0.70,4.94
2040-12-01,7.00,0.70,4.94
2041-01-01,7.01,0.70,4.95
2041-02-01,7.02,0.71,4.95
2041-03-01,7.02,0.71,4.95
2041-04-01,7.03,0.71,4.96
2041-05-01,7.04,0.71,4.96
2041-06-01,7.05,0.71,4.96
2041-07-01,7.06,0.71,4.96
2041-08-01,7.06,0.71,4.97
2041-09-01,7.07,0.71,4.97
2041-10-01,7.08,0.71,4.97
2041-11-01,7.09,0.71,4.98
2041-12-01,7.09,0.71,4.98
2042-01-01,7.10,0.71,4.98
2042-02-01,7.11,0.71,4.99
2042-03-01,7.12,0.71,4.99
2042-04-01,7.13,0.71,4.99
2042-05-01,7.13,0.71,5.00
2042-06-01,7.14,0.71,5.00
2042-07-01,7.15,0.71,5.00
2042-08-01,7.16,0.71,5.00
2042-09-01,7.16,0.71,5.01
2042-10-01,7.17,0.72,5.01
2042-11-01,7.18,0.72,5.01
2042-12-01,7.19,0.72,5.02
2043-01-01,7.19,0.72,5.02
2043-02-01,7.20,0.72,5.02
2043-03-01,7.21,0.72,5.03
2043-04-01,7.22,0.72,5.03
2043-05-01,7.22,0.72,5.03
2043-06-01,7.23,0.72,5.03
2043-07-01,7.24,0.72,5.04
2043-08-01,7.25,0.72,5.04
2043-09-01,7.26,0.72,5.04
2043-10-01,7.26,0.72,5.05
2043-11-01,7.27,0.72,5.05
2043-12-01,7.28,0.72,5.05
2044-01-01,7.29,0.72,5.06
2044-02-01,7.29,0.72,5.06
2044-03-01,7.30,0.72,5.06
2044-04-01,7.31,0.72,5.07
2044-05-01,7.32,0.73,5.07
2044-06-01,7.33,0.73,5.07
2044-07-01,7.33,0.73,5.07
2044-08-01,7.34,0.73,5.08
2044-09-01,7.35,0.73,5.08
2044-10-01,7.36,0.73,5.08
2044-11-01,7.36,0.73,5.09
2044-12-01,7.37,0.73,5.09
2045-01-01,7.38,0.73,5.09
2045-02-01,7.39,0.73,5.10
2045-03-01,7.39,0.73,5.10
2045-04-01,7.40,0.73,5.10
2045-05-01,7.41,0.73,5.11
2045-06-01,7.42,0.73,5.11
2045-07-01,7.43,0.73,5.11
2045-08-01,7.43,0.73,5.11
2045-09-01,7.44,0.73,5.12
2045-10-01,7.45,0.73,5.12
2045-11-01,7.46,0.73,5.12
2045-12-01,7.46,0.73,5.13
2046-01-01,7.47,0.74,5.13
2046-02-01,7.48,0.74,5.13
2046-03-01,7.49,0.74,5.14
2046-04-01,7.49,0.74,5.14
2046-05-01,7.50,0.74,5.14
2046-06-01,7.51,0.74,5.15
2046-07-01,7.52,0.74,5.15
2046-08-01,7.53,0.74,5.15
2046-09-01,7.53,0.74,5.15
2046-10-01,7.54,0.74,5.16
2046-11-01,7.55,0.74,5.16
2046-12-01,7.56,0.74,5.16
2047-01-01,7.56,0.74,5.17
2047-02-01,7.57,0.74,5.17
2047-03-01,7.58,0.74,5.17
2047-04-01,7.59,0.74,5.18
2047-05-01,7.59,0.74,5.18
2047-06-01,7.60,0.74,5.18
2047-07-01,7.61,0.74,5.18
2047-08-01,7.62,0.75,5.19
2047-09-01,7.63,0.75,5.19
2047-10-01,7.63,0.75,5.19
2047-11-01,7.64,0.75,5.20
2047-12-01,7.65,0.75,5.20
2048-01-01,7.66,0.75,5.20
2048-02-01,7.66,0.75,5.21
2048-03-01,7.67,0.75,5.21
2048-04-01,7.68,0.75,5.21
2048-05-01,7.69,0.75,5.22
2048-06-01,7.69,0.75,5.22
2048-07-01,7.70,0.75,5.22
2048-08-01,7.71,0.75,5.22
2048-09-01,7.72,0.75,5.23
2048-10-01,7.73,0.75,5.23
2048-11-01,7.73,0.75,5.23
2048-12-01,7.74,0.75,5.24
2049-01-01,7.75,0.75,5.24
2049-02-01,7.76,0.75,5.24
2049-03-01,7.76,0.75,5.25
2049-04-01,7.77,0.76,5.25
2049-05-01,7.78,0.76,5.25
2049-06-01,7.79,0.76,5.26
2049-07-01,7.79,0.76,5.26
2049-08-01,7.80,0.76,5.26
2049-09-01,7.81,0.76,5.26
2049-10-01,7.82,0.76,5.27
2049-11-01,7.83,0.76,5.27
2049-12-01,7.83,0.76,5.27
2050-01-01,7.84,0.76,5.28
2050-02-01,7.85,0.76,5.28
2050-03-01,7.86,0.76,5.28
2050-04-01,7.86,0.76,5.29
2050-05-01,7.87,0.76,5.29
2050-06-01,7.88,0.76,5.29
2050-07-01,7.89,0.76,5.29
2050-08-01,7.89,0.76,5.30
2050-09-01,7.90,0.76,5.30
2050-10-01,7.91,0.76,5.30
2050-11-01,7.92,0.77,5.31
2050-12-01,7.93,0.77,5.31
2051-01-01,7.93,0.77,5.31
2051-02-01,7.94,0.77,5.32
2051-03-01,7.95,0.77,5.32
2051-04-01,7.96,0.77,5.32
2051-05-01,7.96,0.77,5.33
2051-06-01,7.97,0.77,5.33
2051-07-01,7.98,0.77,5.33
2051-08-01,7.99,0.77,5.33
2051-09-01,7.99,0.77,5.34
2051-10-01,8.00,0.77,5.34
2051-11-01,8.01,0.77,5.34
2051-12-01,8.02,0.77,5.35
2052-01-01,8.03,0.77,5.35
2052-02-01,8.03,0.77,5.35
2052-03-01,8.04,0.77,5.36
2052-04-01,8.05,0.77,5.36
2052-05-01,8.06,0.77,5.36
2052-06-01,8.06,0.78,5.37
2052-07-01,8.07,0.78,5.37
2052-08-01,8.08,0.78,5.37
2052-09-01,8.09,0.78,5.37
2052-10-01,8.09,0.78,5.38
2052-11-01,8.10,0.78,5.38
2052-12-01,8.11,0.78,5.38
2053-01-01,8.12,0.78,5.39
2053-02-01,8.13,0.78,5.39
2053-03-01,8.13,0.78,5.39
2053-04-01,8.14,0.78,5.40
2053-05-01,8.15,0.78,5.40
2053-06-01,8.16,0.78,5.40
2053-07-01,8.16,0.78,5.41
2053-08-01,8.17,0.78,5.41
2053-09-01,8.18,0.78,5.41
2053-10-01,8.19,0.78,5.41
2053-11-01,8.19,0.78,5.42
2053-12-01,8.20,0.78,5.42
2054-01-01,8.21,0.78,5.42
2054-02-01,8.22,0.79,5.43
2054-03-01,8.23,0.79,5.43
2054-04-01,8.23,0.79,5.43
2054-05-01,8.24,0.79,5.44
2054-06-01,8.25,0.79,5.44
2054-07-01,8.26,0.79,5.44
2054-08-01,8.26,0.79,5.45
2054-09-01,8.27,0.79,5.45
2054-10-01,8.28,0.79,5.45
2054-11-01,8.29,0.79,5.45
2054-12-01,8.29,0.79,5.46
2055-01-01,8.30,0.79,5.46
2055-02-01,8.31,0.79,5.46
2055-03-01,8.32,0.79,5.47
2055-04-01,8.33,0.79,5.47
2055-05-01,8.33,0.79,5.47
2055-06-01,8.34,0.79,5.48
2055-07-01,8.35,0.79,5.48
2055-08-01,8.36,0.79,5.48
2055-09-01,8.36,0.80,5.48
2055-10-01,8.37,0.80,5.49
2055-11-01,8.38,0.80,5.49
2055-12-01,8.39,0.80,5.49
2056-01-01,8.39,0.80,5.50
2056-02-01,8.40,0.80,5.50
2056-03-01,8.41,0.80,5.50
2056-04-01,8.42,0.80,5.51
2056-05-01,8.43,0.80,5.51
2056-06-01,8.43,0.80,5.51
2056-07-01,8.44,0.80,5.52
2056-08-01,8.45,0.80,5.52
2056-09-01,8.46,0.80,5.52
2056-10-01,8.46,0.80,5.52
2056-11-01,8.47,0.80,5.53
2056-12-01,8.48,0.80,5.53
2057-01-01,8.49,0.80,5.53
2057-02-01,8.49,0.80,5.54
2057-03-01,8.50,0.80,5.54
2057-04-01,8.51,0.80,5.54
2057-05-01,8.52,0.81,5.55
2057-06-01,8.53,0.81,5.55
2057-07-01,8.53,0.81,5.55
2057-08-01,8.54,0.81,5.56
2057-09-01,8.55,0.81,5.56
2057-10-01,8.56,0.81,5.56
2057-11-01,8.56,0.81,5.56
2057-12-01,8.57,0.81,5.57
2058-01-01,8.58,0.81,5.57
2058-02-01,8.59,0.81,5.57
2058-03-01,8.59,0.81,5.58
2058-04-01,8.60,0.81,5.58
2058-05-01,8.61,0.81,5.58
2058-06-01,8.62,0.81,5.59
2058-07-01,8.63,0.81,5.59
2058-08-01,8.63,0.81,5.59
2058-09-01,8.64,0.81,5.60
2058-10-01,8.65,0.81,5.60
2058-11-01,8.66,0.81,5.60
2058-12-01,8.66,0.82,5.60
2059-01-01,8.67,0.82,5.61
2059-02-01,8.68,0.82,5.61
2059-03-01,8.69,0.82,5.61
2059-04-01,8.69,0.82,5.62
2059-05-01,8.70,0.82,5.62
2059-06-01,8.71,0.82,5.62
2059-07-01,8.72,0.82,5.63
2059-08-01,8.73,0.82,5.63
2059-09-01,8.73,0.82,5.63
2059-10-01,8.74,0.82,5.63
2059-11-01,8.75,0.82,5.64
2059-12-01,8.76,0.82,5.64
2060-01-01,8.76,0.82,5.64
2060-02-01,8.77,0.82,5.65
2060-03-01,8.78,0.82,5.65
2060-04-01,8.79,0.82,5.65
2060-05-01,8.79,0.82,5.66
2060-06-01,8.80,0.82,5.66
2060-07-01,8.81,0.82,5.66
2060-08-01,8.82,0.83,5.67
2060-09-01,8.83,0.83,5.67
2060-10-01,8.83,0.83,5.67
